ALF,AS,LRII,LRIC,Rho,CT,C,CRPa,CRPe,DLI,DLC,TRI,Failure
0,1.333333333,0.191171534,0.3186,0.0188,1,C,0.041557305,0.041557305,1.589861751,1.589861751,0.076327658,Shear
0,3.916666667,0.030745107,0.0922,0.0245,6,C,0.072834646,0.072834646,1.732740282,1.732740282,0.192588306,Flexure
0.200061556,3.916666667,0.036587747,0.1098,0.0245,6,C,0.072834646,0.072834646,1.732740282,1.732740282,0.229186779,Flexure
0,3.916666667,0.031759284,0.0953,0.0245,3,C,0.072834646,0.072834646,1.665568007,1.665568007,0.256182798,Flexure
0.100153411,3.916666667,0.033320592,0.1,0.0245,3,C,0.072834646,0.072834646,1.665568007,1.665568007,0.268776917,Flexure
0.199969536,3.916666667,0.030877082,0.0926,0.0245,3,C,0.072834646,0.072834646,1.665568007,1.665568007,0.249066609,Flexure
0,3.916666667,0.043042014,0.1291,0.0245,3,C,0.072834646,0.072834646,1.551071879,1.551071879,0.528494428,Flexure
0.099847534,3.916666667,0.038945522,0.1168,0.0245,3,C,0.072834646,0.072834646,1.551071879,1.551071879,0.478195361,Flexure
0.200013983,3.916666667,0.035517555,0.1066,0.0245,3,C,0.072834646,0.072834646,1.551071879,1.551071879,0.436104815,Flexure
0.199941766,3.916666667,0.03832897,0.115,0.0245,3,C,0.072834646,0.072834646,1.551071879,1.551071879,0.375908007,Flexure
0.199936543,3.916666667,0.033394666,0.1002,0.0245,3,C,0.072834646,0.072834646,1.551071879,1.551071879,0.273359187,Flexure
0.200160357,3.916666667,0.04080528,0.1224,0.0245,3,C,0.072834646,0.072834646,1.551071879,1.551071879,0.285981472,Flexure
0.151227557,3.222222222,0.127483317,0.3824,0.0247,3,DC,0.142388451,0.142388451,1.48480663,1.48480663,0.156118396,Flexure-shear
0.605136954,3.222222222,0.127483317,0.3824,0.0247,3,DC,0.142388451,0.142388451,1.48480663,1.48480663,0.156118396,Flexure-shear
0.146371626,3.222222222,0.123389816,0.3702,0.0247,3,DC,0.142388451,0.142388451,1.48480663,1.48480663,0.15110542,Flexure-shear
0.139607772,6.557377049,0.023120111,0.0941,0.0215,3,C,0.062295082,0.062295082,1.475708502,1.587583149,0.315510736,Flexure
0.276522146,6.557377049,0.022897087,0.0888,0.0215,3,C,0.062295082,0.062295082,1.475708502,1.537209302,0.312467224,Flexure
0.394086297,6.557377049,0.02056555,0.0885,0.0215,3,C,0.062295082,0.062295082,1.546038544,1.587583149,0.317376049,Flexure
0.136073398,6.557377049,0.022534791,0.0917,0.0215,3,C,0.062295082,0.062295082,1.475708502,1.587583149,0.141933749,Flexure
0.264068744,6.557377049,0.021865898,0.0848,0.0215,3,C,0.062295082,0.062295082,1.475708502,1.537209302,0.137720771,Flexure
0.371038105,6.557377049,0.019362771,0.0833,0.0215,3,C,0.062295082,0.062295082,1.546038544,1.587583149,0.137914277,Flexure
0.396117096,6.557377049,0.027419577,0.1092,0.0215,3,C,0.062295082,0.062295082,1.470941884,1.612107623,0.414962387,Flexure
0.413453786,6.557377049,0.019761178,0.0787,0.0215,3,C,0.062295082,0.062295082,1.470941884,1.612107623,0.29906172,Flexure
0.412321036,6.557377049,0.019707038,0.0785,0.0215,3,C,0.062295082,0.062295082,1.470941884,1.612107623,0.612826794,Flexure
0.371394188,6.557377049,0.020709412,0.0825,0.0215,3,C,0.062295082,0.062295082,1.470941884,1.612107623,0.442748245,Flexure
0.529774756,6.557377049,0.02205697,0.0822,0.0215,3,C,0.062295082,0.062295082,1.365853659,1.612107623,0.579101328,Flexure
0.50604627,6.557377049,0.021069043,0.0786,0.0215,3,C,0.062295082,0.062295082,1.365853659,1.612107623,0.335318207,Flexure
